id,language_abrev,language_movie
63076,en,English
11062,en,English
13685,es,Español
13685,en,English
47475,en,English
2045,en,English
9614,en,English
688,en,English
11907,de,Deutsch
10874,en,English
89333,en,English
197,en,English
197,fr,Français
197,la,Latin
197,gd,
103,en,English
103,es,Español
33542,cn,广州话 / 廣州話
33542,en,English
43566,en,English
43566,fr,Français
43566,de,Deutsch
71754,en,English
43612,fr,Français
51352,en,English
16934,en,English
10324,en,English
78406,en,English
55731,en,English
32119,en,English
11066,fr,Français
11066,en,English
11104,cn,广州话 / 廣州話
11104,en,English
11104,ja,日本語
11104,zh,普通话
37975,it,Italiano
2074,en,English
27793,en,English
44284,ar,العربية
44284,fr,Français
110972,en,English
32622,en,English
73067,en,English
11863,en,English
55475,es,Español
124636,en,English
9101,en,English
123360,en,English
5757,en,English
39428,en,English
9302,fr,Français
11000,en,English
11000,fr,Français
249882,en,English
249882,hr,Hrvatski
249882,bs,Bosanski
16388,en,English
9737,en,English
30765,de,Deutsch
10474,en,English
22279,en,English
30157,en,English
568,en,English
11780,en,English
34996,en,English
414,en,English
649,fr,Français
649,mn,
649,es,Español
1873,en,English
5894,en,English
1775,en,English
8839,en,English
20649,en,English
10329,en,English
10329,fr,Français
8963,en,English
26564,en,English
8068,en,English
8512,en,English
1572,en,English
1572,de,Deutsch
1572,ro,Română
13552,en,English
259209,en,English
6520,en,English
6520,fr,Français
9073,en,English
9073,id,Bahasa indonesia
9073,ms,Bahasa melayu
10428,en,English
10428,it,Italiano
10428,ja,日本語
10428,ru,Pусский
17447,en,English
17447,fr,Français
9886,en,English
9886,ja,日本語
9482,en,English
19326,en,English
9344,en,English
9071,en,English
8973,en,English
15730,en,English
47608,en,English
2293,en,English
9070,en,English
68274,en,English
48787,ru,Pусский
48787,en,English
34574,de,Deutsch
34574,en,English
1642,en,English
1642,es,Español
11472,en,English
11472,ru,Pусский
36196,en,English
11980,en,English
58372,en,English
32646,en,English
10533,en,English
10802,en,English
10149,en,English
18402,en,English
9348,en,English
139408,hu,Magyar
139408,en,English
281,en,English
5967,fr,Français
79593,en,English
47939,en,English
36834,en,English
9090,en,English
9090,es,Español
3512,en,English
52856,en,English
77350,en,English
9560,en,English
9804,en,English
9804,de,Deutsch
9804,es,Español
31611,en,English
65796,cn,广州话 / 廣州話
65796,en,English
49805,en,English
26258,en,English
26258,de,Deutsch
50797,ru,Pусский
19155,sq,shqip
19155,en,English
19155,mk,
76,en,English
76,de,Deutsch
76,fr,Français
11017,fr,Français
11017,es,Español
11017,en,English
37141,en,English
9382,en,English
6715,en,English
18256,en,English
18256,it,Italiano
18256,sv,svenska
22625,en,English
2292,en,English
1909,en,English
8984,en,English
61813,en,English
4954,en,English
62488,en,English
10531,en,English
11929,en,English
8467,en,English
10451,zh,普通话
20156,en,English
20156,he,עִבְרִית
18395,en,English
522,en,English
397,fr,Français
397,en,English
10525,en,English
27985,en,English
15789,en,English
27303,en,English
21183,en,English
10954,fr,Français
47867,en,English
43475,en,English
72031,en,English
14275,en,English
1024,en,English
17207,en,English
17207,ru,Pусский
13701,en,English
14819,en,English
32631,en,English
32631,fr,Français
32631,de,Deutsch
11777,en,English
11777,de,Deutsch
628,en,English
628,fr,Français
87729,en,English
18713,en,English
6280,en,English
9061,en,English
37108,en,English
6071,en,English
11,en,English
9587,en,English
9587,de,Deutsch
9587,fr,Français
19101,en,English
19101,fr,Français
49980,en,English
17961,fr,Français
18183,en,English
18183,es,Español
4476,kw,
4476,en,English
11008,en,English
47504,en,English
32325,en,English
32325,es,Español
43742,en,English
28313,en,English
11318,en,English
3036,en,English
40490,en,English
24070,en,English
8986,en,English
10510,en,English
17402,en,English
38722,en,English
38722,es,Español
8438,en,English
11593,cs,Český
11593,en,English
11593,hu,Magyar
1945,en,English
39310,en,English
109560,en,English
109560,cn,广州话 / 廣州話
56428,en,English
63105,en,English
131957,en,English
241,en,English
241,nv,
241,ja,日本語
9058,en,English
527,en,English
527,mi,
18220,en,English
6950,en,English
6950,ko,한국어/조선말
6950,fr,Français
101,en,English
63020,en,English
2307,en,English
680,en,English
680,es,Español
680,fr,Français
41478,en,English
25296,en,English
25296,zh,普通话
40156,en,English
11450,en,English
30304,tl,
30304,en,English
30304,ja,日本語
10452,fr,Français
10452,it,Italiano
12106,en,English
161495,en,English
3586,fr,Français
3586,it,Italiano
3586,ru,Pусский
3586,es,Español
3586,en,English
110,fr,Français
108,fr,Français
108,pl,Polski
109,fr,Français
109,hu,Magyar
109,pl,Polski
159185,zh,普通话
36357,en,English
92769,en,English
28033,en,English
22586,en,English
14334,en,English
14334,ga,Gaeilge
2636,en,English
2164,en,English
2164,no,Norsk
2164,sv,svenska
11395,en,English
278,en,English
9905,en,English
87078,en,English
12527,es,Español
20306,en,English
36614,en,English
27993,en,English
27993,de,Deutsch
31439,zh,普通话
9067,en,English
9059,en,English
193,en,English
25066,en,English
46797,en,English
12122,en,English
11381,en,English
32636,en,English
36141,en,English
95963,en,English
1587,en,English
9271,en,English
2064,en,English
19855,en,English
60855,cn,广州话 / 廣州話
60855,en,English
236,en,English
48287,en,English
3049,en,English
2759,en,English
12635,en,English
12635,fr,Français
12635,de,Deutsch
12635,ru,Pусский
10497,fr,Français
10497,en,English
11382,en,English
9331,en,English
10731,en,English
10464,en,English
10464,fr,Français
34152,en,English
9495,en,English
29973,en,English
888,en,English
13,en,English
712,en,English
16295,en,English
48992,en,English
48992,es,Español
10879,en,English
10879,fr,Français
10660,en,English
10714,en,English
10714,sk,Slovenčina
41647,de,Deutsch
8587,en,English
1689,en,English
11596,en,English
854,sv,svenska
854,en,English
9359,en,English
23333,en,English
36593,en,English
12280,en,English
2788,en,English
10427,en,English
11011,en,English
11011,la,Latin
49803,en,English
8987,en,English
1637,en,English
15128,en,English
8831,en,English
36955,en,English
36955,fr,Français
36955,ar,العربية
36955,de,Deutsch
10449,en,English
10449,fr,Français
10449,vi,Tiếng Việt
10395,en,English
12160,en,English
40480,en,English
52038,en,English
29444,en,English
26352,en,English
39953,en,English
41580,fr,Français
315,en,English
22067,en,English
18242,en,English
11667,en,English
11667,ja,日本語
32502,en,English
28732,en,English
75555,en,English
278939,en,English
291731,en,English
226229,en,English
203119,en,English
8011,en,English
2654,en,English
18069,en,English
18069,fr,Français
19092,en,English
2758,en,English
38129,en,English
10436,en,English
10436,it,Italiano
13595,en,English
46094,en,English
9409,en,English
11853,en,English
11853,ru,Pусский
16771,es,Español
16771,en,English
46924,en,English
46924,gd,
11041,en,English
306,en,English
14522,en,English
26203,en,English
178,en,English
19819,en,English
57834,fr,Français
57834,en,English
4722,en,English
18215,en,English
1607,en,English
1607,it,Italiano
26391,en,English
117553,en,English
6075,en,English
6075,es,Español
11310,en,English
11310,it,Italiano
11310,ru,Pусский
18658,en,English
9350,en,English
9612,en,English
2124,cs,Český
2124,en,English
26261,en,English
26261,hu,Magyar
19176,en,English
49299,en,English
11566,en,English
9571,en,English
9739,en,English
24257,en,English
34444,en,English
34444,de,Deutsch
26141,en,English
26141,yi,
10997,zh,普通话
50463,en,English
10443,en,English
20239,en,English
16297,en,English
18551,en,English
25440,en,English
9024,en,English
37233,en,English
1634,en,English
13815,en,English
5503,en,English
35588,en,English
35588,fr,Français
2087,en,English
41579,en,English
18620,en,English
41006,en,English
4916,en,English
2019,en,English
31642,en,English
31642,vi,Tiếng Việt
9255,en,English
26271,en,English
10612,en,English
2259,es,Español
2259,en,English
16097,en,English
11934,en,English
106143,en,English
12475,en,English
9386,en,English
7984,en,English
59930,en,English
15765,en,English
31643,en,English
31643,fr,Français
6,en,English
329,en,English
329,es,Español
10909,en,English
507,en,English
507,fr,Français
34024,en,English
29918,en,English
9593,en,English
42580,en,English
22317,en,English
22317,de,Deutsch
1413,en,English
12121,en,English
2246,en,English
10502,en,English
10440,en,English
9516,en,English
2320,en,English
5879,ja,日本語
83718,en,English
11971,en,English
2625,en,English
31911,en,English
788,en,English
21450,en,English
11231,en,English
41588,en,English
10447,en,English
31586,en,English
9300,en,English
9559,en,English
9800,en,English
713,en,English
713,mi,
8291,en,English
8291,fr,Français
18133,en,English
25557,en,English
22588,en,English
10872,en,English
1245,en,English
11858,en,English
11858,es,Español
7007,ja,日本語
7007,en,English
10467,en,English
5550,en,English
5550,ja,日本語
8005,en,English
2088,en,English
10412,pt,Português
10412,de,Deutsch
10412,en,English
10412,ja,日本語
10412,vi,Tiếng Việt
47889,en,English
14534,en,English
14534,es,Español
56583,en,English
41878,fr,Français
41878,de,Deutsch
41878,es,Español
424,de,Deutsch
424,pl,Polski
424,he,עִבְרִית
424,en,English
35233,en,English
14291,en,English
103413,en,English
11236,en,English
11592,en,English
8850,en,English
10445,en,English
695,en,English
43535,en,English
12519,en,English
23210,en,English
858,en,English
867,en,English
78,en,English
78,de,Deutsch
78,cn,广州话 / 廣州話
78,ja,日本語
78,hu,Magyar
13203,en,English
10442,ru,Pусский
10442,en,English
11074,en,English
33367,en,English
9607,en,English
17585,en,English
9057,en,English
20967,fr,Français
20967,en,English
10635,en,English
9479,en,English
10057,en,English
11969,en,English
11969,la,Latin
11969,es,Español
41590,en,English
319,en,English
319,it,Italiano
26408,en,English
15139,da,Dansk
15139,en,English
15139,fr,Français
15139,de,Deutsch
15139,es,Español
161158,en,English
85247,en,English
11446,en,English
51980,fr,Français
24405,en,English
11655,en,English
11655,es,Español
11800,en,English
8223,es,Español
14587,en,English
14587,hi,हिन्दी
31504,en,English
41653,sv,svenska
53185,en,English
95743,en,English
23637,it,Italiano
17600,en,English
10897,en,English
21352,en,English
68806,it,Italiano
37345,en,English
32562,en,English
47507,fr,Français
25403,ar,العربية
25403,en,English
25403,it,Italiano
25403,zh,普通话
9066,it,Italiano
9066,de,Deutsch
9066,en,English
9066,hu,Magyar
771,en,English
251,en,English
812,en,English
280,en,English
280,es,Español
581,en,English
80350,en,English
268,en,English
268,fr,Français
274,en,English
408,en,English
10020,fr,Français
10020,en,English
10895,en,English
114,en,English
114,it,Italiano
114,ja,日本語
41043,fr,Français
41043,ru,Pусский
576,en,English
576,de,Deutsch
576,es,Español
15477,en,English
59146,zh,普通话
30528,en,English
7300,en,English
10824,en,English
261246,en,English
275,en,English
11827,en,English
11827,hu,Magyar
8766,en,English
23570,en,English
47333,en,English
47333,fr,Français
51242,it,Italiano
10112,en,English
4307,es,Español
46029,en,English
32308,en,English
88893,it,Italiano
88893,en,English
52873,fr,Français
123505,en,English
340210,en,English
44281,ar,العربية
28121,en,English
12520,en,English
1592,en,English
1592,es,Español
166901,en,English
36447,en,English
19042,en,English
38884,ca,Català
38884,en,English
38884,es,Español
47449,en,English
36259,en,English
41852,en,English
40926,en,English
9099,en,English
2021,en,English
61752,en,English
10988,en,English
11479,fr,Français
398959,de,Deutsch
339428,de,Deutsch
12652,fr,Français
10684,en,English
954,en,English
954,fr,Français
954,cs,Český
68445,de,Deutsch
68445,is,Íslenska
68445,ja,日本語
68445,en,English
18989,en,English
10801,de,Deutsch
54285,ko,한국어/조선말
8840,en,English
278978,de,Deutsch
124625,en,English
124625,de,Deutsch
11107,en,English
11107,it,Italiano
16417,af,Afrikaans
16417,en,English
10363,en,English
10363,fr,Français
10363,it,Italiano
161070,en,English
10539,en,English
10543,en,English
18414,en,English
47502,en,English
11902,en,English
11902,fr,Français
11902,de,Deutsch
11902,ru,Pусский
11902,sr,Srpski
27098,de,Deutsch
27098,sv,svenska
27098,en,English
25087,en,English
5801,bn,বাংলা
896,bn,বাংলা
3065,en,English
318177,en,English
2300,en,English
8069,en,English
288173,es,Español
288173,en,English
221917,en,English
8072,fr,Français
35797,en,English
35797,fr,Français
88030,en,English
88030,pt,Português
83857,en,English
33245,en,English
33245,ru,Pусский
124460,en,English
27281,en,English
27281,vi,Tiếng Việt
105045,de,Deutsch
40001,en,English
29621,en,English
117730,he,עִבְרִית
20762,it,Italiano
20762,en,English
37144,en,English
48260,en,English
12656,en,English
38867,en,English
25969,en,English
44103,nl,Nederlands
44103,fr,Français
44103,la,Latin
44103,es,Español
753,en,English
43634,en,English
43634,es,Español
9103,en,English
90214,en,English
29649,en,English
10990,en,English
8866,en,English
12233,en,English
23449,en,English
36355,en,English
37667,en,English
90148,en,English
90148,es,Español
922,en,English
922,es,Español
11876,fr,Français
11876,it,Italiano
52633,en,English
62364,es,Español
11687,fr,Français
9304,en,English
131232,it,Italiano
9100,en,English
20759,en,English
46063,en,English
32513,en,English
40651,en,English
40651,de,Deutsch
36915,en,English
40507,es,Español
40507,en,English
9802,en,English
25697,en,English
21588,en,English
21588,it,Italiano
664,en,English
11867,en,English
47119,fr,Français
314352,de,Deutsch
9323,ja,日本語
10280,en,English
10535,en,English
124613,en,English
532,en,English
26744,en,English
26744,fr,Français
16299,en,English
10547,en,English
245268,en,English
935,en,English
55613,de,Deutsch
55613,en,English
41007,en,English
35645,en,English
110465,en,English
255546,en,English
255546,pt,Português
40751,cn,广州话 / 廣州話
40751,zh,普通话
85778,en,English
11101,de,Deutsch
11101,ru,Pусский
9826,en,English
9879,en,English
63564,en,English
22621,en,English
7095,en,English
26890,en,English
46732,en,English
124633,en,English
124633,sr,Srpski
202425,fr,Français
77771,ar,العربية
77771,fr,Français
77771,wo,Wolof
181083,fr,Français
41225,en,English
41225,fr,Français
41225,de,Deutsch
41225,it,Italiano
87190,en,English
627,en,English
32872,en,English
32872,fr,Français
602,en,English
14553,en,English
9566,en,English
10545,la,Latin
10545,en,English
9894,en,English
11543,en,English
9268,en,English
9327,en,English
123763,es,Español
81949,en,English
81949,ro,Română
42005,hu,Magyar
183955,tl,
44535,en,English
44495,en,English
78285,fr,Français
11228,en,English
10779,en,English
26748,en,English
26748,es,Español
38223,en,English
9294,en,English
49963,en,English
11363,en,English
11363,fr,Français
1645,en,English
31546,en,English
77056,fr,Français
36344,en,English
18550,en,English
11511,en,English
172198,hu,Magyar
34170,en,English
281085,en,English
109478,en,English
124645,en,English
12606,en,English
35206,fr,Français
151489,cy,Cymraeg
4837,fr,Français
4837,en,English
12632,de,Deutsch
9098,de,Deutsch
124614,en,English
18975,en,English
18975,it,Italiano
11962,en,English
2925,en,English
28628,en,English
3595,en,English
9308,en,English
92381,en,English
18555,en,English
12123,en,English
10830,en,English
3573,en,English
10546,en,English
10546,de,Deutsch
18862,en,English
31417,fr,Français
9431,en,English
9431,es,Español
297645,zh,普通话
48144,zh,普通话
46986,en,English
46986,de,Deutsch
46986,ja,日本語
144982,en,English
47907,en,English
10061,en,English
36266,vi,Tiếng Việt
549,en,English
549,es,Español
10478,en,English
66634,en,English
116690,ja,日本語
213917,fr,Français
145925,it,Italiano
238,en,English
238,it,Italiano
238,la,Latin
159,de,Deutsch
11134,cn,广州话 / 廣州話
11134,en,English
11134,ms,Bahasa melayu
11134,th,ภาษาไทย
88224,en,English
132641,ja,日本語
42758,en,English
9303,en,English
23945,en,English
37820,en,English
22479,en,English
9054,en,English
241058,en,English
11985,zh,普通话
10232,de,Deutsch
59569,en,English
38955,cn,广州话 / 廣州話
110513,en,English
11015,en,English
9306,en,English
12559,en,English
12559,fr,Français
12559,es,Español
58770,en,English
3587,en,English
10723,en,English
56077,en,English
19004,en,English
101230,nl,Nederlands
101230,en,English
10987,en,English
44705,en,English
44705,es,Español
20318,en,English
20318,de,Deutsch
20318,yi,
43596,de,Deutsch
79782,pl,Polski
26933,fr,Français
27854,es,Español
27854,en,English
981,en,English
872,en,English
2769,en,English
2769,fr,Français
2769,de,Deutsch
13320,en,English
164,en,English
164,pt,Português
426,en,English
567,en,English
3078,en,English
13528,en,English
28288,en,English
28288,fr,Français
28288,it,Italiano
213,en,English
284,en,English
239,en,English
4808,en,English
4808,fr,Français
4808,de,Deutsch
4808,it,Italiano
289,de,Deutsch
289,fr,Français
289,it,Italiano
289,en,English
963,en,English
11113,en,English
6620,en,English
6620,it,Italiano
804,en,English
804,it,Italiano
26531,en,English
909,en,English
630,en,English
770,en,English
31044,en,English
599,en,English
15,en,English
62,en,English
62,ru,Pусский
121357,en,English
121357,de,Deutsch
705,en,English
705,fr,Français
22490,en,English
22490,fr,Français
223,en,English
223,fr,Français
25670,nl,Nederlands
25670,en,English
25670,lv,Latviešu
303,en,English
4174,en,English
8356,en,English
8356,fr,Français
8356,it,Italiano
8356,pt,Português
381,fr,Français
381,en,English
20758,it,Italiano
20758,en,English
29376,fr,Français
29376,en,English
1859,en,English
18299,en,English
18299,fr,Français
17281,en,English
17281,fr,Français
64382,en,English
10907,en,English
32093,en,English
32093,es,Español
1939,en,English
22292,en,English
3598,en,English
3598,zh,普通话
3598,es,Español
3080,en,English
3080,it,Italiano
198,en,English
13562,en,English
13562,hu,Magyar
1712,en,English
1712,es,Español
220,en,English
3529,en,English
3085,en,English
2897,en,English
2897,es,Español
2897,fr,Français
1585,en,English
3083,en,English
900,en,English
43795,en,English
85638,en,English
50001,en,English
43905,en,English
22688,en,English
23114,en,English
26378,en,English
40206,en,English
22356,en,English
260,en,English
43488,en,English
43488,it,Italiano
22613,en,English
22613,es,Español
10331,en,English
488,en,English
488,de,Deutsch
488,sw,Kiswahili
22733,it,Italiano
22733,en,English
261,en,English
57575,en,English
57575,hu,Magyar
32574,en,English
22657,en,English
22657,es,Español
76464,en,English
22649,en,English
176841,en,English
39448,cn,广州话 / 廣州話
39448,en,English
52855,en,English
52855,pl,Polski
39940,en,English
85328,en,English
11076,en,English
63945,en,English
58985,en,English
890,de,Deutsch
10861,en,English
1770,en,English
44465,en,English
2033,en,English
18203,en,English
9333,en,English
47260,en,English
9400,en,English
9401,en,English
9401,vi,Tiếng Việt
12241,en,English
12241,es,Español
11306,en,English
9625,en,English
10680,en,English
6346,en,English
6346,pl,Polski
18660,en,English
18660,de,Deutsch
35115,es,Español
35115,en,English
14821,en,English
14136,es,Español
14136,en,English
14136,cn,广州话 / 廣州話
10869,en,English
22660,en,English
19186,en,English
31102,en,English
6878,en,English
15944,en,English
18444,en,English
18444,it,Italiano
20723,en,English
173,en,English
864,en,English
864,fr,Français
864,de,Deutsch
864,ru,Pусский
24795,en,English
24795,fr,Français
24795,it,Italiano
24795,es,Español
11224,en,English
81310,en,English
15947,en,English
15947,pt,Português
15947,es,Español
9078,en,English
29682,en,English
8367,en,English
433,en,English
11360,en,English
11114,en,English
12335,en,English
12092,en,English
10948,en,English
11229,en,English
15121,en,English
15121,fr,Français
15121,it,Italiano
562,en,English
562,de,Deutsch
562,it,Italiano
10163,en,English
48862,en,English
117036,en,English
47199,en,English
11159,en,English
9591,en,English
30500,en,English
41843,en,English
41843,de,Deutsch
55058,en,English
10938,en,English
11412,en,English
10586,en,English
42314,en,English
27845,it,Italiano
27845,en,English
108365,en,English
108365,fr,Français
23223,en,English
49471,en,English
38153,en,English
38153,hu,Magyar
25147,la,Latin
25147,en,English
9716,en,English
43777,es,Español
454,en,English
10218,en,English
819,en,English
38191,en,English
11238,en,English
27256,en,English
31530,en,English
31530,fr,Français
66473,en,English
28120,en,English
1834,en,English
26282,ja,日本語
26282,cn,广州话 / 廣州話
26282,en,English
37218,en,English
252,en,English
252,fr,Français
252,de,Deutsch
116356,fr,Français
16372,en,English
11561,en,English
11561,yi,
11302,yi,
11302,en,English
623,en,English
623,it,Italiano
623,ru,Pусский
583,en,English
12614,en,English
12614,fr,Français
21711,en,English
11575,en,English
11575,it,Italiano
475,en,English
11331,en,English
521,en,English
21202,it,Italiano
88,en,English
500,en,English
792,en,English
792,vi,Tiếng Việt
8491,en,English
402,en,English
10537,en,English
11386,en,English
9504,en,English
15764,cs,Český
15764,en,English
15764,fr,Français
15764,de,Deutsch
15764,pl,Polski
15764,ru,Pусский
601,en,English
67365,en,English
25842,en,English
2119,en,English
744,en,English
136311,en,English
221,en,English
702,en,English
25750,en,English
17642,en,English
427043,de,Deutsch
146341,bg,български език
146341,en,English
9305,fr,Français
37616,en,English
11112,en,English
21612,it,Italiano
21612,en,English
102461,fr,Français
36998,fr,Français
200383,en,English
200383,fr,Français
116844,en,English
1630,en,English
26626,en,English
11816,en,English
11843,en,English
10379,en,English
2756,en,English
790,en,English
1103,en,English
11298,en,English
4480,it,Italiano
4480,fr,Français
4481,fr,Français
49688,es,Español
10765,en,English
762,fr,Français
762,la,Latin
762,en,English
44497,en,English
278621,en,English
55049,fr,Français
79306,en,English
10548,en,English
531,en,English
104931,ru,Pусский
104931,fr,Français
104931,de,Deutsch
104931,en,English
104931,it,Italiano
4483,fr,Français
18919,cs,Český
18919,la,Latin
31556,en,English
26167,en,English
26174,en,English
26174,it,Italiano
61461,it,Italiano
117500,fr,Français
127973,en,English
659,de,Deutsch
659,he,עִבְרִית
659,it,Italiano
659,pl,Polski
659,ru,Pусский
30892,la,Latin
30892,en,English
30892,fr,Français
30892,it,Italiano
30892,de,Deutsch
8074,fr,Français
38554,en,English
49763,en,English
41326,en,English
36555,en,English
10608,en,English
11216,it,Italiano
7452,en,English
64567,en,English
64567,fr,Français
892,fr,Français
1600,fr,Français
1600,it,Italiano
1600,pl,Polski
26561,en,English
26561,it,Italiano
975,en,English
975,de,Deutsch
975,la,Latin
18129,en,English
54405,en,English
150823,en,English
409,de,Deutsch
409,it,Italiano
409,ar,العربية
409,en,English
38251,el,ελληνικά
38251,it,Italiano
38251,es,Español
10161,en,English
1412,en,English
41768,en,English
10409,es,Español
10409,en,English
14285,en,English
2469,es,Español
10174,en,English
10174,fr,Français
31225,en,English
510,en,English
11455,en,English
1891,en,English
2493,en,English
85,en,English
85,es,Español
85,de,Deutsch
85,he,עִבְרִית
85,ar,العربية
85,ne,
68,en,English
679,en,English
429,it,Italiano
13446,en,English
389,en,English
947,ar,العربية
947,en,English
947,tr,Türkçe
185,en,English
595,en,English
28,km,
28,en,English
28,fr,Français
28,vi,Tiếng Việt
335,en,English
1892,en,English
144,en,English
144,fr,Français
144,de,Deutsch
1092,en,English
1092,ru,Pусский
1092,de,Deutsch
769,it,Italiano
769,en,English
348,en,English
348,es,Español
766,en,English
175,en,English
175,fr,Français
175,it,Italiano
11645,ja,日本語
10835,cn,广州话 / 廣州話
10835,ja,日本語
10835,zh,普通话
539,en,English
525,en,English
240,en,English
240,it,Italiano
240,la,Latin
240,es,Español
600,en,English
600,vi,Tiếng Việt
530,en,English
10705,en,English
10705,fr,Français
279,en,English
279,de,Deutsch
279,it,Italiano
279,la,Latin
3109,en,English
3109,ga,Gaeilge
311,en,English
311,fr,Français
311,it,Italiano
1578,en,English
703,en,English
703,de,Deutsch
9549,en,English
9549,ru,Pусский
1398,ru,Pусский
387,de,Deutsch
387,en,English
387,fr,Français
9277,en,English
343,en,English
37291,en,English
490,sv,svenska
11235,en,English
218,en,English
763,en,English
9665,en,English
18971,en,English
696,en,English
379,gd,
379,it,Italiano
379,yi,
379,en,English
207,en,English
37247,en,English
1480,en,English
1480,es,Español
9322,en,English
9322,fr,Français
9322,it,Italiano
826,ja,日本語
826,th,ภาษาไทย
826,en,English
422,de,Deutsch
422,en,English
422,fr,Français
422,it,Italiano
829,es,Español
829,cn,广州话 / 廣州話
829,en,English
828,en,English
828,fr,Français
828,hi,हिन्दी
828,ru,Pусский
3090,en,English
9964,en,English
3063,en,English
13667,en,English
13667,hu,Magyar
694,en,English
235,en,English
832,de,Deutsch
765,en,English
5925,en,English
5925,de,Deutsch
5925,fr,Français
5925,ru,Pусский
11778,en,English
11778,fr,Français
11778,ru,Pусский
11778,vi,Tiếng Việt
4485,en,English
4485,fr,Français
4485,it,Italiano
137,en,English
137,fr,Français
137,it,Italiano
33,en,English
982,en,English
8428,en,English
212,en,English
212,de,Deutsch
105,en,English
1633,en,English
11202,en,English
1554,en,English
1554,it,Italiano
149,ja,日本語
8009,en,English
903,en,English
11673,fr,Français
3034,en,English
3034,de,Deutsch
339,en,English
339,fi,suomi
339,fr,Français
339,de,Deutsch
339,it,Italiano
10404,zh,普通话
914,en,English
914,eo,Esperanto
756,en,English
288,en,English
910,en,English
2640,en,English
2640,it,Italiano
16633,en,English
665,en,English
11031,en,English
11314,en,English
15143,en,English
89,de,Deutsch
89,el,ελληνικά
89,en,English
10322,en,English
783,en,English
783,hi,हिन्दी
10644,en,English
11257,en,English
11257,it,Italiano
14370,en,English
12104,en,English
625,pt,Português
625,en,English
625,fr,Français
625,hu,Magyar
625,km,
8816,sv,svenska
830,en,English
2323,en,English
983,en,English
642,en,English
642,es,Español
655,en,English
10341,en,English
10341,fr,Français
10341,de,Deutsch
10341,it,Italiano
10341,ja,日本語
639,en,English
266022,en,English
168450,en,English
30180,en,English
31388,en,English
41801,en,English
66034,en,English
348138,en,English
61536,en,English
18762,en,English
8077,en,English
814,en,English
41671,en,English
41671,pt,Português
27214,en,English
52263,en,English
33519,en,English
16235,en,English
11449,en,English
41848,en,English
41848,it,Italiano
25944,en,English
24913,en,English
49126,en,English
32076,en,English
32076,es,Español
571,en,English
8851,en,English
37843,en,English
32146,en,English
30346,en,English
6114,la,Latin
6114,ro,Română
6114,bg,български език
6114,el,ελληνικά
6114,en,English
229,en,English
13549,en,English
9529,en,English
1598,en,English
11349,en,English
7340,en,English
6217,en,English
377,en,English
28198,it,Italiano
794,en,English
794,it,Italiano
794,la,Latin
31640,en,English
8744,en,English
25189,en,English
145,en,English
2212,en,English
199,en,English
7863,en,English
7863,yi,
12498,en,English
9279,en,English
53234,en,English
53234,fr,Français
53234,it,Italiano
17204,en,English
21539,en,English
21539,es,Español
85589,no,Norsk
12709,fr,Français
20539,en,English
11674,en,English
64900,en,English
64900,fr,Français
64900,ru,Pусский
1573,en,English
1573,es,Español
152,en,English
174,en,English
172,en,English
154,en,English
157,en,English
157,ru,Pусский
168,en,English
168,fi,suomi
364,en,English
11967,en,English
9086,en,English
621,en,English
9037,en,English
