id,id_companies,companies
2064,175,Caravan Pictures
2064,915,Hollywood Pictures
19855,33,Universal Pictures
60855,8,Fine Line Features
60855,806,Téléfilm Canada
60855,4908,First Generation Films
60855,17027,National Film Board of Canada (NFB)
60855,36024,British Columbia Film Commission
236,105,Ciby 2000
236,11840,Film Victoria
236,39250,House & Moorhouse Films
48287,441,Columbia Pictures Corporation
48287,10157,Beacon Pictures
3049,6194,Warner Bros.
3049,10210,Morgan Creek Productions
2759,1382,PolyGram Filmed Entertainment
12635,37,Gramercy Pictures
10497,8,Fine Line Features
10497,355,R.P. Productions
10497,441,Columbia Pictures Corporation
10497,635,Les Films Alain Sarde
10497,5358,Canal+
10497,8131,Timothy Burrill Productions
11382,14,Miramax Films
9331,4,Paramount Pictures
9331,2767,Mace Neufeld Productions
10731,508,Regency Enterprises
10731,644,Alcor Films
10731,6194,Warner Bros.
10464,12,New Line Cinema
34152,33,Universal Pictures
34152,4319,40 Acres & A Mule Filmworks
9495,14,Miramax Films
9495,4028,Crowvision Inc.
9495,4029,Entertainment Media Investment Corporation
9495,4030,Jeff Most Productions
9495,6455,Edward R. Pressman Film
29973,508,Regency Enterprises
29973,644,Alcor Films
29973,6194,Warner Bros.
29973,16823,Aleor Films
888,33,Universal Pictures
888,56,Amblin Entertainment
888,1353,Hanna-Barbera Productions
13,4,Paramount Pictures
712,181,Channel Four Films
712,1382,PolyGram Filmed Entertainment
712,10163,Working Title Films
16295,441,Columbia Pictures Corporation
16295,1947,New Deal Productions
48992,441,Columbia Pictures Corporation
48992,37294,Think Again Productions
48992,37295,Riot of Color
10879,175,Caravan Pictures
10879,9195,Touchstone Pictures
10660,559,TriStar Pictures
41647,181,Channel Four Films
41647,201,Arte
41647,4606,Zweites Deutsches Fernsehen (ZDF)
41647,12914,Nomad Films
41647,12915,Omega Film GmbH
41647,12916,Without Walls
8587,2,Walt Disney Pictures
8587,10217,Walt Disney Feature Animation
1689,14,Miramax Films
11596,12,New Line Cinema
854,12,New Line Cinema
854,552,Dark Horse Entertainment
9359,4564,Icon Entertainment International
9359,6194,Warner Bros.
23333,8,Fine Line Features
23333,14,Miramax Films
36593,4,Paramount Pictures
12280,23,Imagine Entertainment
12280,33,Universal Pictures
2788,33,Universal Pictures
2788,216,Jersey Films
10427,278,Propaganda Films
10427,1382,PolyGram Filmed Entertainment
11011,1302,Davis Entertainment
11011,1885,Silver Pictures
11011,6194,Warner Bros.
49803,12,New Line Cinema
8987,33,Universal Pictures
8987,496,David Foster Productions
8987,662,Turman-Foster Company
1637,306,Twentieth Century Fox Film Corporation
15128,8411,Metro-Goldwyn-Mayer (MGM)
8831,33,Universal Pictures
8831,467,Renaissance Pictures
8831,552,Dark Horse Entertainment
8831,1644,Largo Entertainment
8831,2982,Signature Pictures
8831,4248,JVC Entertainment Networks
36955,306,Twentieth Century Fox Film Corporation
36955,574,Lightstorm Entertainment
10449,9195,Touchstone Pictures
10395,5,Columbia Pictures
12160,335,Tig Productions
12160,6194,Warner Bros.
12160,13040,Kasdan Pictures
12160,24217,Paragon Entertainment Corp.
40480,9195,Touchstone Pictures
40480,21857,Tool Shed Productions
52038,288,BBC Films
52038,2630,Majestic Films International
52038,11358,Little Bird
29444,37,Gramercy Pictures
29444,1382,PolyGram Filmed Entertainment
26352,175,Caravan Pictures
26352,915,Hollywood Pictures
39953,3923,Strand Releasing
39953,25583,Strand Home Video
315,170,Eve Productions Inc.
18242,6215,Bolex Brothers
18242,6216,Lumen Films
18242,6217,Tara
11667,33,Universal Pictures
11667,7220,Capcom
32502,278,Propaganda Films
32502,11061,Motion Picture Corporation of America (MPCA)
32502,31080,Polygram Filmed Entertainment
32502,33419,Snowback Productions
28732,285,Live Entertainment
28732,826,Capitol Films
28732,16835,Bates Entertainmant
75555,14280,A-Pix Entertainment
75555,37300,Devin Entertainment
42981,2,Walt Disney Pictures
42981,90509,Theodore Thomas Productions
278939,888,Overseas FilmGroup
291731,38179,Skyline Entertainment Partners
291731,38289,Arrow
203119,3268,Home Box Office (HBO)
203119,38276,Frozen Rope Productions Inc.
8011,2662,Trans-Film
8011,22240,Initial Groupe
8011,25129,Lumière Pictures
8011,30655,Fallingcloud
2654,12,New Line Cinema
18069,12,New Line Cinema
19092,12,New Line Cinema
2758,4,Paramount Pictures
2758,41,Orion Pictures
2758,258,Scott Rudin Productions
38129,21222,HBO Independent Productions
10436,5,Columbia Pictures
13595,306,Twentieth Century Fox Film Corporation
13595,1595,Island World
13595,3929,Robert Simonds Productions
46094,915,Hollywood Pictures
46094,1382,PolyGram Filmed Entertainment
46094,10201,Interscope Communications
46094,12883,Nomura Babcock & Brown
46094,82606,NBB Unit One Film Partners
46094,82607,Longview Entertainment
9409,9195,Touchstone Pictures
11853,306,Twentieth Century Fox Film Corporation
11853,89311,"Ruddy Morgan Organization, The"
16771,8,Fine Line Features
16771,97,Castle Rock Entertainment
16771,16737,Barcelona Films
46924,6194,Warner Bros.
46924,7049,Enigma Productions
46924,58750,BSB
46924,79560,NatWest Ventures
46924,79561,Fujisankei
11041,306,Twentieth Century Fox Film Corporation
306,4,Paramount Pictures
306,30,Eddie Murphy Productions
14522,6194,Warner Bros.
26203,12,New Line Cinema
178,2231,Trilogy Entertainment Group
178,8411,Metro-Goldwyn-Mayer (MGM)
19819,4,Paramount Pictures
57834,14150,Orion Pictures Corporation
57834,18070,Heathrow Productions
4722,6194,Warner Bros.
4722,10098,Dorset Productions
4722,10099,Robert H. Solo Productions
18215,70969,Mainline Pictures
1607,7429,HBO Films
1607,11308,Savoy Pictures
26391,9195,Touchstone Pictures
117553,5,Columbia Pictures
117553,1350,Parkway Productions
6075,33,Universal Pictures
6075,1988,Epic Productions
