id,collection_id,collection_name
9086,9329,Young Guns Collection
621,86083,Grease Collection
9037,86083,Grease Collection
8845,112399,Under Siege Collection
578,2366,The Jaws Collection
579,2366,The Jaws Collection
17692,2366,The Jaws Collection
4232,2602,Scream Collection
34314,166379,Turbulence Collection
9404,269098,Police Story Collection
14908,393564,McHale's Navy Collection
11419,108693,National Lampoon's Vacation Collection
10003,86224,The Saint Collection
11844,207952,Barrytown Trilogy
6499,286162,Power Rangers Collection
9360,105995,Anaconda Collection
816,1006,Austin Powers Collection
49478,174407,Warriors of Virtue Collection
1811,259398,Teenage Apocalypse Trilogy
330,328,Jurassic Park Collection
33660,331475,Shiloh Collection
1639,43064,Speed Collection
415,120794,Batman Collection
17991,182923,Tetsuo Collection
607,86055,Men In Black Collection
9387,43055,Conan the Barbarian Collection
10603,126221,George of the Jungle Collection
20737,97445,Air Bud Collection
18519,9328,Free Willy Collection
4961,10721,Mimic Collection
1669,192492,The Jack Ryan Collection
9437,142680,Alex Cross Collection
10351,135489,Wishmaster Collection
3597,3601,I Know What You Did Last Summer Collection
1281,103372,Mr. Bean Collection
563,10522,Starship Troopers Collection
9823,9818,Mortal Kombat Collection
8078,8091,Alien Collection
42832,372479,Les Boys
9714,9888,Home Alone Collection
4233,2602,Scream Collection
714,645,James Bond Collection
9922,351886,The Postman Collection
32302,71458,3 Ninjas Collection
9033,9068,The Prophecy Collection
11568,112636,The Blues Brothers Collection
11808,134011,The Fugitive / U.S. Marshals Collection
617,33059,Wild Things Collection
17644,350402,Barney Collection
27472,221966,The Odd Couple Collection
10216,9887,Species Collection
9771,97771,Major League Collection
37410,378453,Henry Fool Collection
10674,87236,Mulan Collection
846,19387,The X-Files Collection
3050,3169,Dr. Dolittle Collection
944,945,Lethal Weapon Collection
1051,155474,French Connection Collection
1366,1575,Rocky Collection
10014,8581,A Nightmare on Elm Street Collection
10072,8581,A Nightmare on Elm Street Collection
10131,8581,A Nightmare on Elm Street Collection
10160,8581,A Nightmare on Elm Street Collection
11284,8581,A Nightmare on Elm Street Collection
4488,9735,Friday the 13th Collection
9725,9735,Friday the 13th Collection
9728,9735,Friday the 13th Collection
9730,9735,Friday the 13th Collection
9731,9735,Friday the 13th Collection
10225,9735,Friday the 13th Collection
10281,9735,Friday the 13th Collection
10283,9735,Friday the 13th Collection
948,91361,Halloween Collection
11281,91361,Halloween Collection
10676,91361,Halloween Collection
11357,91361,Halloween Collection
11361,91361,Halloween Collection
36599,123255,Prom Night Collection
39929,123255,Prom Night Collection
41828,123255,Prom Night Collection
41769,123255,Prom Night Collection
10585,10455,Child's Play Collection
11186,10455,Child's Play Collection
11187,10455,Child's Play Collection
609,10453,Poltergeist Collection
11133,10453,Poltergeist Collection
10306,10453,Poltergeist Collection
9552,12263,The Exorcist Collection
11586,12263,The Exorcist Collection
11587,12263,The Exorcist Collection
941,945,Lethal Weapon Collection
942,945,Lethal Weapon Collection
943,945,Lethal Weapon Collection
927,89151,The Gremlins Collection
928,89151,The Gremlins Collection
9342,1657,Zorro Collection
165,264,Back to the Future Collection
196,264,Back to the Future Collection
551,372257,The Poseidon Adventure Collection
17984,294468,Flubber Collection
22328,87232,The Apple Dumpling Gang Collection
3170,87250,Bambi Collection
242,230,The Godfather Collection
29228,297143,Dexter Riley Collection
11164,10709,The Mighty Ducks Collection
12129,12087,Herbie Collection
14140,12087,Herbie Collection
11158,72119,"Honey, I Shrunk the Kids Collection"
9354,72119,"Honey, I Shrunk the Kids Collection"
9325,97459,The Jungle Book Collection
10340,97460,Lady and the Tramp Collection
10144,33085,The Little Mermaid Collection
10414,10709,The Mighty Ducks Collection
10437,256377,The Muppet Collection
12230,100693,101 Dalmatians (Animated) Collection
10693,55422,Peter Pan Collection
11135,57971,The Rescuers Collection
11319,57971,The Rescuers Collection
14822,90348,Witch Mountain Collection
15969,86027,Aladdin Collection
15943,294519,The Shaggy Dog Collection
19762,294468,Flubber Collection
2619,248126,Splash Collection
97,63043,TRON Collection
11675,91361,Halloween Collection
87,84,Indiana Jones Collection
123,141290,The Lord of the Rings Animated Collection
10823,115225,Children of the Corn Collection
11497,140910,All Dogs Go to Heaven Collection
2907,11716,Addams Family Collection
15171,263193,Charlotte's Web Collection
11704,141292,The Secret Of NIMH Collection
4978,8783,Fievel Collection
10380,8783,Fievel Collection
11415,102782,House Collection
37530,102782,House Collection
8393,87805,The Gods Must Be Crazy Collection
11937,87805,The Gods Must Be Crazy Collection
21661,97445,Air Bud Collection
39930,143755,Henry: Portrait of a Serial Killer Collection
10692,143755,Henry: Portrait of a Serial Killer Collection
805,264338,Rosemary's Baby Collection
34584,91430,The Neverending Story Collection
34636,91430,The Neverending Story Collection
2182,47983,Killer Tomatoes! Collection
36647,735,Blade Collection
431,432,Cube Collection
2109,90863,Rush Hour Collection
9877,52760,Urban Legend
1091,479888,The Thing Collection
4437,4438,The Space Odyssey Series
11932,10455,Child's Play Collection
9945,348843,Vampires Collection
4518,100286,Elizabeth Collection
3600,3601,I Know What You Did Last Summer Collection
12223,374384,Stepford Collection
14444,57129,Rugrats Collection
1678,374509,Godzilla (Showa) Collection
39256,374511,Godzilla (Heisei) Collection
1680,374509,Godzilla (Showa) Collection
244,135495,King Kong (1933 series)
10730,135498,King Kong (1976 series)
31947,135498,King Kong (1976 series)
9749,104833,Fletch Collection
14628,104833,Fletch Collection
9626,43055,Conan the Barbarian Collection
707,645,James Bond Collection
9336,9338,Police Academy Collection
10157,9338,Police Academy Collection
12118,9338,Police Academy Collection
10587,9338,Police Academy Collection
11825,9338,Police Academy Collection
11895,9338,Police Academy Collection
9447,9435,Babe Collection
200,115570,Star Trek: The Next Generation Collection
1369,5039,Rambo Collection
1368,5039,Rambo Collection
1370,5039,Rambo Collection
10303,89264,Romancing the Stone Collection
9326,89264,Romancing the Stone Collection
10328,86307,Cocoon Collection
11285,86307,Cocoon Collection
1367,1575,Rocky Collection
1371,1575,Rocky Collection
1374,1575,Rocky Collection
1375,1575,Rocky Collection
1885,8580,The Karate Kid Collection
8856,8580,The Karate Kid Collection
10495,8580,The Karate Kid Collection
5825,108693,National Lampoon's Vacation Collection
6917,340623,The Gate Collection
40729,340623,The Gate Collection
11815,123213,The Fly (1958 series)
9426,109609,The Fly Collection
10344,109609,The Fly Collection
30497,111751,Texas Chainsaw Massacre Collection
16337,111751,Texas Chainsaw Massacre Collection
25018,111751,Texas Chainsaw Massacre Collection
16780,111751,Texas Chainsaw Massacre Collection
9671,9332,Crocodile Dundee Collection
9396,9332,Crocodile Dundee Collection
11873,387219,The Hustler Collection
8224,387618,8MM Collection
8913,10789,Pet Sematary Collection
10906,10789,Pet Sematary Collection
25748,115225,Children of the Corn Collection
25749,115225,Children of the Corn Collection
10671,33938,Airport Collection
27932,33938,Airport Collection
7227,33938,Airport Collection
33518,124934,Alligator Collection
2362,166698,Westworld Collection
871,1709,Planet of the Apes Original Collection
1685,1709,Planet of the Apes Original Collection
1705,1709,Planet of the Apes Original Collection
1688,1709,Planet of the Apes Original Collection
1687,1709,Planet of the Apes Original Collection
29723,33938,Airport Collection
31638,372257,The Poseidon Adventure Collection
9535,110127,Analyze Collection
796,52789,Cruel Intentions Collection
7341,257053,Carrie Collection
603,2344,The Matrix Collection
564,1733,The Mummy Collection
9460,205860,The Black Mask Collection
1893,10,Star Wars Collection
15849,221544,The Mummy (Universal Series)
18990,138965,The Mummy (Hammer Series)
29242,221544,The Mummy (Universal Series)
29243,221544,The Mummy (Universal Series)
31498,221544,The Mummy (Universal Series)
29239,221544,The Mummy (Universal Series)
1924,8537,Superman Collection
8536,8537,Superman Collection
9531,8537,Superman Collection
11411,8537,Superman Collection
138,221539,Dracula (Universal Series)
30793,221539,Dracula (Universal Series)
3103,218406,Frankenstein (Universal Series)
3035,218406,Frankenstein (Universal Series)
3077,218406,Frankenstein (Universal Series)
3074,218406,Frankenstein (Universal Series)
3076,259027,The Wolf Man (Universal Series)
3079,123720,Frankenstein (Hammer Series)
32023,221539,Dracula (Universal Series)
13666,259027,The Wolf Man (Universal Series)
29794,174218,The Howling Collection
36685,281644,Rocky Horror Collection
17918,87228,Swamp Thing Collection
817,1006,Austin Powers Collection
37135,106768,Tarzan (Animation) Collection
2105,2806,American Pie Collection
10239,104068,Tales of the Four Seasons
10208,256377,The Muppet Collection
2667,64750,Blair Witch Collection
9825,97768,Lake Placid Collection
620,2980,Ghostbusters Collection
2978,2980,Ghostbusters Collection
332,237445,Inspector Gadget Collection
147,185682,The Adventures of Antoine Doinel
9710,135502,Allan Quatermain Collection
10766,10919,The Omen Collection
10768,10919,The Omen Collection
813,91663,Airplane Collection
2665,91663,Airplane Collection
11418,108693,National Lampoon's Vacation Collection
11153,108693,National Lampoon's Vacation Collection
11077,180854,Problem Child Collection
28597,180854,Problem Child Collection
850,201873,A Christmas Story Collection
10366,10713,Universal Soldier Collection
9349,10713,Universal Soldier Collection
11037,123251,Iron Eagle Collection
11955,123251,Iron Eagle Collection
2038,123251,Iron Eagle Collection
28737,123251,Iron Eagle Collection
91893,189295,The Spiders Serial
11601,143757,Stir of Echoes Collection
11797,98168,Fright Night Collection
18086,98168,Fright Night Collection
10975,146136,Armour of God Collection
10974,146136,Armour of God Collection
9638,47770,Phantasm Collection
10576,119674,Psycho Collection
12662,119674,Psycho Collection
11230,12203,Drunken Master Collection
1654,124492,The Dirty Dozen Collection
658,645,James Bond Collection
657,645,James Bond Collection
646,645,James Bond Collection
5689,59586,The Blue Lagoon collection
391,48317,The Man With No Name Collection
772,9888,Home Alone Collection
65448,380822,Penitenciaría - Colección
65452,380822,Penitenciaría - Colección
29064,122947,Omega Code Series
10496,381396,Bats Collection
16162,243598,The Best Man Collection
15247,89188,Harry Palmer Collection
29251,391047,On Any Sunday Collection
5548,5547,RoboCop Collection
5549,5547,RoboCop Collection
699,645,James Bond Collection
709,645,James Bond Collection
253,645,James Bond Collection
660,645,James Bond Collection
11377,248339,House on Haunted Hill Collection
18111,98036,Re-Animator Collection
16281,107725,Creepshow Collection
16288,107725,Creepshow Collection
1694,98036,Re-Animator Collection
24831,212279,Piranha Collection
37853,398740,Mister Roberts Collection
14035,48037,Meatballs Collection
40771,48037,Meatballs Collection
40772,48037,Meatballs Collection
40773,48037,Meatballs Collection
10228,34055,Pokémon Collection
11663,207952,Barrytown Trilogy
9264,48188,Poison Ivy Collection
18222,48188,Poison Ivy Collection
20565,95051,The Up Series
36643,645,James Bond Collection
863,10194,Toy Story Collection
32669,359005,The Jake Gittes Collection
10402,95664,Deuce Bigalow Collection
25188,135509,The Last Picture Show Collection
15515,321063,The Sinbad Collection
10137,99727,Stuart Little Collection
49948,55427,Fantasia Collection
10471,43563,Friday Collection
14919,421904,Batman (DC Universe Animated) Collection
2005,103573,Sister Act Collection
6279,103573,Sister Act Collection
8872,8979,Wayne's World Collection
8873,8979,Wayne's World Collection
9869,192492,The Jack Ryan Collection
9367,9649,Mexico Trilogy
16562,110179,The Cutting Edge Collection
4234,2602,Scream Collection
9605,338282,Single White Female Collection
8374,87186,The Boondock Saints Collection
25934,327598,"To Sir, with Love Collection"
2787,2794,The Chronicles of Riddick Collection
2069,103577,The Whole Nine/Ten Yards Collection
10839,93568,Cross of Iron Collection
838,124950,American Graffiti Collection
11176,256377,The Muppet Collection
11899,256377,The Muppet Collection
9532,8864,Final Destination Collection
13939,14377,Death Wish Collection
14373,14377,Death Wish Collection
24873,14377,Death Wish Collection
26263,14377,Death Wish Collection
34746,14377,Death Wish Collection
1498,1582,Teenage Mutant Ninja Turtles (Original) Collection
1497,1582,Teenage Mutant Ninja Turtles (Original) Collection
1499,1582,Teenage Mutant Ninja Turtles (Original) Collection
11690,36694,Bloodsport Collection
11520,119050,Grumpy Old Men Collection
990,387219,The Hustler Collection
11478,8647,The Skulls Collection
11356,221966,The Odd Couple Collection
17339,366826,Navarone Collection
26879,338327,Beach Party Collection
13665,170754,Arthur Collection
12309,466318,Bachelor Party Collection
106,399,Predator Collection
1359,86105,American Psycho Collection
10557,159616,East is East Collection
11977,104847,Caddyshack Collection
9456,9436,The Crow Collection
889,351684,The Flintstones (Live-Action) Collection
452,498,Heart of Gold Collection
39283,256484,Carnosaur Collection
65460,256484,Carnosaur Collection
55667,256484,Carnosaur Collection
12476,175858,Hidden Collection
16395,127280,The Three Mothers Collection
5608,342009,Die Nibelungen Filmreihe
10560,246839,Center Stage Collection
5683,179244,Pee-wee's Collection
14906,271668,Caballeros Collection
9285,96679,Road Trip Collection
955,87359,Mission: Impossible Collection
8584,59567,Shanghai Noon Collection
668,645,James Bond Collection
691,645,James Bond Collection
698,645,James Bond Collection
682,645,James Bond Collection
9600,44979,Big Momma's House Collection
21,252313,The Endless Summer Collection
10911,366826,Navarone Collection
26912,123726,Quatermass (Hammer series)
26278,123726,Quatermass (Hammer series)
26953,107949,Puppet Master Collection
26954,107949,Puppet Master Collection
26956,107949,Puppet Master Collection
26957,107949,Puppet Master Collection
26958,107949,Puppet Master Collection
26959,107949,Puppet Master Collection
26960,107949,Puppet Master Collection
23069,424830,The Benji Collection
21299,424830,The Benji Collection
38802,424830,The Benji Collection
21137,157671,The Decline of Western Civilization Collection
36724,157671,The Decline of Western Civilization Collection
938,48317,The Man With No Name Collection
10648,10456,Dirty Harry Collection
10246,109592,Porky's Collection
19698,109592,Porky's Collection
23919,109592,Porky's Collection
26554,263866,Nuke 'Em High Collection
15239,32135,The Toxic Avenger Collection
28165,32135,The Toxic Avenger Collection
28169,32135,The Toxic Avenger Collection
169,399,Predator Collection
10128,174245,Alien Nation Collection
9659,8945,Mad Max Collection
8810,8945,Mad Max Collection
9355,8945,Mad Max Collection
10068,121195,9½ Weeks Collection
11495,207447,Firestarter Collection
482,495,Shaft Collection
479,495,Shaft Collection
9873,171439,F/X Collection
16820,171439,F/X Collection
15379,46512,Missing in Action Collection
12764,46512,Missing in Action Collection
27352,46512,Missing in Action Collection
17897,321063,The Sinbad Collection
16094,159600,House Party Collection
16096,159600,House Party Collection
11822,173628,Nekromantik Collection
494,495,Shaft Collection
493,495,Shaft Collection
4247,4246,Scary Movie Collection
36657,748,X-Men Collection
12599,34055,Pokémon Collection
11940,321063,The Sinbad Collection
12107,86028,The Nutty Professor Collection
9383,166376,Hollow Man Collection
15158,47770,Phantasm Collection
16139,47770,Phantasm Collection
16146,47770,Phantasm Collection
26515,123256,Pumpkinhead Collection
13567,47391,Sleepaway Camp Collection
20850,123249,"Ilsa, She Wolf of the SS Collection"
8843,223564,The Cell Collection
10643,374512,Godzilla (Millennium) Collection
37136,37139,Naked Gun Collection
37137,37139,Naked Gun Collection
11398,25410,The Art of War Collection
1588,430186,Bring It On Collection
12211,8050,Highlander Collection
1698,8412,Anatomy Collection
12212,52760,Urban Legend
16,498,Heart of Gold Collection
9003,8917,Hellraiser Collection
9064,8917,Hellraiser Collection
11569,8917,Hellraiser Collection
26484,338327,Beach Party Collection
39113,338327,Beach Party Collection
38126,123213,The Fly (1958 series)
53617,338327,Beach Party Collection
10973,221537,Creature From The Black Lagoon (Universal Series)
10787,259401,The Invisible Man (Universal Series)
27475,138971,The Slumber Party Massacre Collection
27764,138971,The Slumber Party Massacre Collection
27767,138971,The Slumber Party Massacre Collection
40760,138974,The Sorority House Massacre Collection
40446,138974,The Sorority House Massacre Collection
20455,39244,Digimon Collection
1597,51509,Meet the Parents Collection
21142,240690,Billy Jack Collection
78140,240690,Billy Jack Collection
18498,44913,Ghoulies Collection
28605,44913,Ghoulies Collection
12207,12203,Drunken Master Collection
11531,64750,Blair Witch Collection
4327,86029,Charlie's Angels Collection
681,645,James Bond Collection
16340,57129,Rugrats Collection
10481,124916,101 Dalmatians (Live-Action) Collection
146,290973,"Crouching Tiger, Hidden Dragon Collection"
11849,106498,Dungeons & Dragons Collection
708,645,James Bond Collection
10673,52783,Wall Street Collection
11688,178117,The Emperor's New Groove Collection
1493,93220,Miss Congeniality Collection
10577,115822,Dracula 2000 Collection
15739,312735,Annie Collection
9816,107469,Save The Last Dance Collection
96,85861,Beverly Hills Cop Collection
90,85861,Beverly Hills Cop Collection
19933,141282,The Brave Little Toaster Collection
18935,330555,Ernest Collection
764,1960,Evil Dead Collection
580,2366,The Jaws Collection
1547,109076,Lost Boys Collection
10019,124951,Mannequin Collection
37302,109082,Left Behind Collection
843,287016,Wong Kar-Wai's Informal Collection
9740,9743,The Hannibal Lecter Anthology
19405,421084,Disneys Große Pause
43332,366444,Demetrius Filmreihe
17965,116847,Dr. Phibes Collection
11454,9743,The Hannibal Lecter Anthology
14052,48190,Revenge of the Nerds Collection
16889,48190,Revenge of the Nerds Collection
23730,257571,C.H.U.D. Collection
10054,86486,Spy Kids Collection
2043,142680,Alex Cross Collection
56715,52888,The Visitors Collection
10991,34055,Pokémon Collection
634,8936,Bridget Jones Collection
10956,353325,Joe Dirt Collection
9290,9332,Crocodile Dundee Collection
1734,1733,The Mummy Collection
808,2150,Shrek Collection
1406,150156,City Slickers Collection
41050,441439,Alienation Trilogy
966,110021,The Magnificent Seven Collection
12639,110021,The Magnificent Seven Collection
10865,100965,Atlantis Collection
1995,2467,Tomb Raider Collection
10808,3169,Dr. Dolittle Collection
9799,9485,The Fast and the Furious Collection
60670,3963,The Crimson Rivers Collection
10992,87014,Cats & Dogs Collection
4248,4246,Scary Movie Collection
26483,338327,Beach Party Collection
24382,421566,Totò Collection
11286,101688,Cannonball Run Collection
11950,101688,Cannonball Run Collection
12236,101688,Cannonball Run Collection
26573,427956,Dr Goldfoot Collection
20075,33071,Cheech & Chong Collection
20197,33071,Cheech & Chong Collection
11906,127280,The Three Mothers Collection
2114,140760,Final Fantasy Collection
8835,86024,Legally Blonde Collection
26044,170754,Arthur Collection
30502,179244,Pee-wee's Collection
18509,104847,Caddyshack Collection
3980,10893,Critters Collection
10127,10893,Critters Collection
12702,10893,Critters Collection
10651,10456,Dirty Harry Collection
5680,182617,Elvira Collection
26386,330555,Ernest Collection
38500,174218,The Howling Collection
12144,19163,The Land Before Time Collection
24929,101471,Return of the Living Dead Collection
10925,101471,Return of the Living Dead Collection
13965,89272,The Man From Snowy River Collection
24266,89272,The Man From Snowy River Collection
11966,86347,Short Circuit Collection
2605,86347,Short Circuit Collection
41428,182923,Tetsuo Collection
29095,126220,The Waxwork Collection
12500,91945,American Ninja Collection
25678,91945,American Ninja Collection
25682,91945,American Ninja Collection
32049,153948,Best of the Best Collection
1648,91746,Bill & Ted's Most Excellent Collection
53150,257571,C.H.U.D. Collection
10134,98853,Cyborg Collection
15142,351230,Dream a Little Dream Collection
25005,186102,Eddie and the Cruisers Collection
21721,186102,Eddie and the Cruisers Collection
10345,88735,K-9 Collection
10222,105322,Kickboxer Collection
9494,9521,Look Who's Talking Collection
9942,97771,Major League Collection
331,328,Jurassic Park Collection
19142,87228,Swamp Thing Collection
41946,87631,The Musketeers Collection
10135,224976,Road House Collection
30666,138706,The Stepfather Collection
25155,138706,The Stepfather Collection
11342,87536,Warlock Collection
24126,87536,Warlock Collection
8494,118221,Weekend at Bernie's Collection
27813,104716,Basket Case Collection
9880,107674,The Princess Diaries Collection
5175,90863,Rush Hour Collection
4484,239968,La cage aux folles
11684,239968,La cage aux folles
17169,168182,Philo & Clyde Collection
2770,2806,American Pie Collection
8922,94899,Jeepers Creepers Collection
16314,71458,3 Ninjas Collection
18885,71458,3 Ninjas Collection
40508,71458,3 Ninjas Collection
30379,122947,Omega Code Series
35200,383632,A Man Called Horse Collection
9398,352789,Zoolander Collection
10866,166378,Joy Ride Collection
166,41649,The Party Collection
13612,33071,Cheech & Chong Collection
984,10456,Dirty Harry Collection
141,178106,Darko Collection
585,137696,"Monsters, Inc. Collection"
45964,276838,When a Stranger Calls Collection
671,1241,Harry Potter Collection
16085,449750,Fanny Brice Collection
16441,106000,Beastmaster Collection
34388,89188,Harry Palmer Collection
37835,284024,The Exterminator Collection
26398,211753,Caprona Collection
10649,10456,Dirty Harry Collection
27591,211753,Caprona Collection
10650,10456,Dirty Harry Collection
8007,98513,Behind Enemy Lines Collection
161,304,Ocean's Collection
1649,91746,Bill & Ted's Most Excellent Collection
120,119,The Lord of the Rings Collection
12593,476056,Fritz the Cat Collection
14683,476056,Fritz the Cat Collection
45491,395591,Sex and Zen Collection
11595,93295,48 Hrs. Collection
9610,43055,Conan the Barbarian Collection
150,93295,48 Hrs. Collection
11528,87214,The Sandlot Collection
16690,55422,Peter Pan Collection
39939,449462,Super Troopers Collection
39282,449750,Fanny Brice Collection
993,262011,Sleuth Collection
11979,217704,The Vampire Chronicles
25006,124879,State Property Collection
23479,215326,The Bad New Bears Collection
66946,215326,The Bad New Bears Collection
19050,215326,The Bad New Bears Collection
108266,460292,The Lone Ranger (Clayton Moore) Collection
108267,460292,The Lone Ranger (Clayton Moore) Collection
15999,122952,Vampire Hunter D Collection
13225,19160,FernGully Collection
7219,133923,Zombi Collection
26200,108669,Get Smart Collection
38147,221308,"Oh, God! Collection"
24032,221308,"Oh, God! Collection"
425,8354,Ice Age Collection
1576,17255,Resident Evil Collection
17804,456980,The Paleface Collection
31805,135441,Road to Collection
13861,135441,Road to Collection
29021,135441,Road to Collection
31812,135441,Road to Collection
28213,104068,Tales of the Four Seasons
12705,87220,Smokey and the Bandit Collection
11006,87220,Smokey and the Bandit Collection
15120,87220,Smokey and the Bandit Collection
16026,112537,Sällskapsresorna
36586,735,Blade Collection
11452,43220,National Lampoon’s Van Wilder Collection
11590,261526,Slap Shot Collection
